komentar,timestamp,sentiment
wallahi we’re finished😔,2025-03-20 09:40:29+00:00,positif
s2,2025-04-12 12:44:57+00:00,netral
I hate the current state of my beloved country,2025-03-31 07:08:26+00:00,negatif
negara apaansih inii....,2025-03-20 08:19:31+00:00,negatif
Kayaknya ni negara bukan demokrasi deh,2025-03-18 05:19:55+00:00,negatif
yaallah kenapa aku wni😔😔,2025-03-18 06:17:29+00:00,positif
DPR anjjjj,2025-03-18 07:25:47+00:00,netral
idup di indo emang level hard kayaknya😹,2025-03-18 06:48:21+00:00,netral
"udah paling bener kumpulin duit, belajar bahasa asing, cari kerja di luar negri.",2025-03-18 08:13:12+00:00,positif
malam Lailatul Qadar kita smua ngadu ke Allah aja yak,2025-03-20 21:27:10+00:00,negatif
tolak RUU TNI🔥,2025-03-18 05:21:19+00:00,positif
"ajakin akuu pindahhh, takuttt 😞",2025-03-20 21:14:15+00:00,negatif
Trus fungsinya demokrasi apaan 😭,2025-03-18 06:40:23+00:00,negatif
"Tolak RUU TNI ✔
Tolak Dwi fungsi ABRI ✔",2025-03-18 05:33:58+00:00,positif
WOIII DEMO WOIIII 😭,2025-03-20 01:21:59+00:00,positif
gapernah se rindu ini sama malam lailatul qadar😭 pgn gw aduin semuanya,2025-03-20 14:35:03+00:00,negatif
Itu DPR kn ngewakilin suara rakyat? rakyat mana yang mereka suarain?,2025-03-20 13:00:30+00:00,negatif
oh ini 19jt lapangan kerja nya🤣 untuk circle nya ternyata 😅,2025-03-18 10:10:06+00:00,netral
lama lama indonesia jadi kek korea utara nih,2025-03-18 06:54:56+00:00,negatif
gini amat ya kehidupan remaja gue,2025-03-20 16:07:51+00:00,positif
sbnrnya DPR itu perwakilan rakyat apa perwakilan TNI?,2025-03-18 06:40:06+00:00,negatif
negara apaan si ini anjj,2025-03-21 21:58:06+00:00,positif
mau nangis sumpah,2025-03-20 01:55:12+00:00,negatif
tolak RUU TNI🔥,2025-03-18 05:21:33+00:00,positif
aku terlalu bocil buat mikirin ruu tni😭,2025-03-21 23:13:53+00:00,negatif
masa remaja gw hal konyol semua jir😹😹😹,2025-03-20 22:10:32+00:00,positif
MAU KE KOREAAA TPI DUIT G ADA,2025-03-21 21:37:47+00:00,negatif
pentesan susanti pindah negara,2025-03-21 12:21:02+00:00,negatif
negara kocak😭,2025-03-22 04:37:43+00:00,positif
ga kebayang sekolah bawa scar cupid,2025-03-21 17:30:44+00:00,positif
wallahi i'm done,2025-03-20 17:10:14+00:00,positif
Indonesia MIGHT be worse than Philippines dawg 😭😭,2025-03-20 12:33:39+00:00,negatif
"wallahi we,re finished🇮🇩💀",2025-03-21 21:49:56+00:00,positif
pilihan kalian ok gas ok gas 🤣,2025-03-20 07:36:11+00:00,positif
kayak korut jdinya ya,2025-03-18 06:06:39+00:00,negatif
ramalan jayabaya kayaknya bakal benar deh 😭,2025-03-18 16:58:11+00:00,netral
terus apa alasan DPR kebut RUU TNI?? diam² lagi ? kenapa harus diam² coba?,2025-03-18 06:38:48+00:00,negatif
DUKUNG RUU TNI🔥,2025-03-19 23:34:28+00:00,netral
"jadi gmna bang, intinya ruu tni itu isinya tenang minus semua yah, gak ada plus nya? saya masih bingung dipenjelasan minus nya semua ...",2025-03-18 05:22:45+00:00,negatif
Ga Kebayang semuanya di ambil ahli oleh tni,2025-03-18 08:14:42+00:00,positif
"Sadar gak, knp pada samaan revisi Ruu TNI dgn sita motor muncul skrng, ide mereka nhii😂",2025-03-18 07:03:53+00:00,negatif
lebih baik sah kan RUU perampasan aset😅,2025-03-18 06:08:58+00:00,netral
Fungsi DPR apasih anjirr🤣 perwakilan rakyat yang mana🤣🤣,2025-03-20 10:34:54+00:00,positif
percuma mo nolak gimana pun ttp ujungnya di sah in dan kita ga bisa apa apa,2025-03-18 05:26:57+00:00,positif
kenapa gua lahir jadi wni coba🗿,2025-03-20 05:18:43+00:00,negatif
"list yang mau pindah negara:
-gw",2025-03-21 06:07:10+00:00,negatif
RIP Reformasi 1998-2025,2025-03-20 04:21:03+00:00,positif
ayoo guys di list yg mau pindah negara,2025-03-20 21:15:58+00:00,negatif
emng paling bener pindah negara dahhh,2025-03-20 21:07:34+00:00,negatif
INDONESIA GELAPP,2025-03-18 12:30:41+00:00,negatif
bneran Malaysia gamau ngeklaim gua?,2025-03-20 13:57:02+00:00,negatif
"gini amat hidup di negara ini,udah gitu umur gw masih muda lagi",2025-03-21 22:14:30+00:00,positif
hadeh pusinh banget dunia gua,2025-03-20 06:03:45+00:00,negatif
"Intinya Balik Jaman Soeharto, Senyap, Tidak Ada Berita korupsi. Karena Mencekam dalam tanda kutip "" takut diculik "", Kalau kita Bersuara Tentang Kasus Korupsi Bakal Hilang? 🗿",2025-03-18 06:59:06+00:00,negatif
GAISS MALAM LAILATUL QADAR KITA ADUIN KE ALLAH BARENG² YAA😔😔😔,2025-03-21 14:42:28+00:00,positif
negara apa sih ini,2025-03-18 11:09:57+00:00,positif
ini semua karena mulyono,2025-03-18 07:37:58+00:00,positif
Menuju Indonesia cemas😹,2025-03-23 13:41:25+00:00,positif
demi apa masa remaja gua gini ? 😭 cape bgt demi apa punn,2025-03-20 23:55:17+00:00,negatif
tunggu aku jadi hakim.,2025-03-21 21:28:43+00:00,positif
ini negara apaan dh,2025-03-18 14:50:18+00:00,positif
Korea jemput gw plis😭,2025-03-22 03:53:49+00:00,positif
"list yg mau pindah negara:
1.gw",2025-03-20 21:31:06+00:00,negatif
ga tenang masa depan gua kalo gini😹,2025-03-21 21:35:52+00:00,positif
"lebih enak di twt ya, klo disini orng orng nya pada kaya..",2025-03-19 22:07:26+00:00,negatif
buzzernya dh pd gerak kmrn lewat VT nya,2025-03-18 06:17:38+00:00,negatif
#kaburajadulu emang bnr,2025-03-21 04:04:52+00:00,negatif
"list pindah negara
1.aku",2025-03-21 00:11:05+00:00,negatif
semoga tersadarkan untuk yang belum sadar separah apa RUU TNI ini,2025-03-18 06:15:28+00:00,negatif
negara anj,2025-03-21 06:02:45+00:00,positif
"list yang mau pindah negara
1.ak",2025-03-20 22:38:53+00:00,negatif
"singkatnya dijaman Orde baru itu ada dwi fungsi tentara, kalo RUU ini disahkan ya brarti balik lg ke jaman orde baru, karena tentara bisa ngejabat/memerintah rakyat sipil",2025-03-18 11:40:48+00:00,negatif
"#DUKUNG MAHASISWA
#TOLAK RUU TNI.",2025-03-23 02:16:48+00:00,positif
pantes Susanti Sekolah di Malaysia,2025-03-22 12:42:44+00:00,positif
NEGARA SAKIT,2025-03-21 21:09:51+00:00,negatif
"As a Malaysian, I understand how important this issue is for Indonesians, semoga dimudahkan segala urusan, love you Indonesia 🫶🏻💗",2025-03-22 08:41:12+00:00,positif
"berita ini akan hilang jika timnas main, dan uu ini bakalan di sahkan",2025-03-18 06:39:44+00:00,negatif
sakit njir ni negara,2025-03-20 23:34:36+00:00,negatif
Negoro opo ki,2025-03-20 21:13:26+00:00,netral
korea utara ✖️indonesia utara ✔️,2025-03-21 13:05:00+00:00,netral
Gen Z harus dengar ini.. krn kalian ga prnh hidup di era Orde Baru 😇,2025-03-18 07:41:04+00:00,negatif
negara macam apa ini.,2025-03-22 04:18:19+00:00,positif
"Komen tni asli / buzzer tni
1. jngan macam2 sama TNI
2. tidak ada asap kalo tdk ada api
3. TNI bersama rakyat
4. Bravo TNI.
5. Dukung DWIFUNGSI TNI",2025-03-18 15:51:07+00:00,negatif
masa muda gw gini amat ya🗿,2025-03-21 03:46:56+00:00,positif
17 thn gw gini amatt,2025-03-21 05:36:25+00:00,negatif
siapa yang mau ikut ke jepang cunggg🙏🏻,2025-03-21 16:00:13+00:00,positif
banyak buzzer nih😹,2025-03-18 11:32:28+00:00,positif
"kan sekarang udh 10 malam terakhir ramdhan, kita ngadu aja ke Allah (malam lailatul qadar)",2025-03-22 00:01:24+00:00,negatif
"•lulusan covid
•kurikulum percobaan
•un percobaan
•pertamax = pertalite
•orde baru
gini amat masa remaja guaa",2025-03-21 21:14:33+00:00,positif
berasa di korut 😭,2025-03-20 07:05:46+00:00,negatif
masi kecil bnyk bgt cobaan w😭,2025-03-22 09:26:23+00:00,netral
tetep dukung ruu TNI 😎,2025-03-18 10:43:20+00:00,negatif
info pindah ke malay,2025-03-18 05:51:24+00:00,negatif
ini Presiden gk bisa turun tangan kah?,2025-03-20 13:29:02+00:00,negatif
dukung RUU TNI🥰,2025-03-18 11:37:10+00:00,netral
dukung ruu tni🔥🔥🔥,2025-03-18 08:43:57+00:00,netral
kalau di cina udh diterapkan maka nya maju.,2025-03-18 09:11:05+00:00,negatif
"bagus lah yg ngisi instansi TNI, dibanding rakyat sipil yg dapat jabatan via amplop pas dapet kursi lebih mentingin perut sendiri ga nge dengerin suara rakyat, klo perlu petrus sekalian di aktifin lagi khususnya di sumatra byk curanmor, begal, gengster, liat aja jaman soeharto adem gaada lg yg namanya penghina presiden, klo ada jarak brp hari udh hilang tu org",2025-03-18 06:12:25+00:00,negatif
masih ga ngerti😔,2025-03-21 22:29:11+00:00,netral
"ini kalo sah.. pemerintahan kita ini apa jadi pemerintahan junta militer gitu ?? kayak di myanmar ?
serius nanya",2025-03-18 05:18:40+00:00,negatif
tolak revisi UU TNI,2025-03-18 21:52:27+00:00,positif
Kerjaan megachan nih,2025-03-18 06:03:46+00:00,positif
gk paham 🙏,2025-03-18 06:26:11+00:00,netral
list pindah negara :,2025-03-22 14:59:21+00:00,negatif
tapi Orde Baru Preman2 kejahatan bisa di minimalisir,2025-03-18 07:39:44+00:00,netral
"setujuin aj lh kan katanya ""enakan jaman pa harto""😹",2025-03-18 05:42:01+00:00,positif
SEGERA DI SAHKAN UU TNI KALO NKRI MAU AMAN,2025-03-18 09:16:17+00:00,negatif
gen z bikin negara sendiri aja yuk,2025-03-22 06:55:24+00:00,positif
"klo ini bener² kejadian dan sampe di sahkan menurut saya, mungkin akan pindah negara aja sih.. Safe ur self and ur Family first than Nationalism.",2025-03-18 13:48:23+00:00,negatif
Simplenya liat aja Myanmar skrng,2025-03-18 05:38:48+00:00,netral
demi allah kalo ada rezeki lebih mending pindah negara sih🔥,2025-03-20 17:27:09+00:00,negatif
Ahh aku ga jadi pulang deh 🤭😭,2025-03-22 02:19:52+00:00,negatif
napa sih gw lahir di Indo,2025-03-22 14:39:42+00:00,negatif
nih alasan Papua susah ikut di negara Indonesia,2025-03-21 21:15:28+00:00,negatif
#TOLAKREVISIRUUTNI,2025-03-20 21:40:13+00:00,negatif
"list yang mau pindah negara👇
-gw",2025-03-21 02:40:40+00:00,negatif
Hidup cuma sekali aku malah jadi WNI😫,2025-03-20 21:50:30+00:00,positif
list yang mau pindah negara,2025-03-21 04:10:35+00:00,negatif
gini amat masa dewasa gw.,2025-03-23 00:05:19+00:00,netral
mending pindah Jepang aja lah 😹,2025-03-21 10:35:57+00:00,negatif
pusing sama negara sendiri,2025-03-20 21:49:36+00:00,negatif
gini amat masa remaja gua😔😔,2025-03-20 22:48:47+00:00,positif
"Komen buzzer 100m
1. Jangan macam2 sama TINI.
2. Tidak ada asap kalo tdk ada api.
3. TINI bersama rakyat.
4. Bravo TINI.
5. Dukung RUU TINI.",2025-03-18 07:46:32+00:00,negatif
"yaAllah, tambah tebel dah pkn dan per IPS an 😭😭😭",2025-03-20 14:29:54+00:00,negatif
faktanya melakukan tindak pidana paling aman adalah dengan menjadi tni karna kebal hukum,2025-03-18 08:01:41+00:00,positif
capee hidup kek gini aseli🥀,2025-03-20 14:12:52+00:00,positif
gas ruu tni,2025-03-18 09:16:07+00:00,positif
helo i'm form Malaysia🇲🇾🇲🇾,2025-03-21 13:28:09+00:00,positif
"udah paling bener indo nerapin sistem komunis tapi ekonomi kapitalis dijamin ga ada yang korupsi dan macem"" tapi rakyat sejahtera dan ga demo",2025-03-18 06:28:28+00:00,negatif
joko anwar nolak karna gak di pilih sebagai produser oleh prabowo kah?🤔,2025-03-18 06:53:45+00:00,negatif
Prabowo ga bisa batalkan ya?🥺,2025-03-22 05:41:38+00:00,netral
"liat ini aku keinget salah satu AU yg prnh aku baca, cerita nya kurasa hampir sama kayak gini tpi ngga mirip, critanya itu KLO ngga slh inget tntang 5 remaja yang berusaha mencari tahu segala tentang-",2025-03-20 22:48:58+00:00,negatif
ini sebenarnya Indonesia udah merdeka belum si?,2025-03-21 22:00:43+00:00,negatif
i'm from Malaysia 🇲🇾🥰,2025-03-20 22:45:49+00:00,negatif
ini negara apasih,2025-03-19 07:26:53+00:00,positif
"list yg mau pindah negara👇
1. aku",2025-03-22 04:47:57+00:00,negatif
tolak RUU TNI,2025-03-21 11:18:01+00:00,positif
"ya allah umur masih 15, negara udh gini aj🥲🥲",2025-03-22 21:09:48+00:00,positif
pindah negara yuk,2025-03-20 15:44:38+00:00,negatif
negara apa ini anj,2025-03-20 21:15:52+00:00,positif
MENOLAK RUU TNI = MENOLAK KEMBALI KE MASA KELAM!! 🔥,2025-03-20 13:05:57+00:00,negatif
bapak gw tni tapi nolak RUU TNI 🔥🔥,2025-03-18 21:28:03+00:00,negatif
PANTES SUSANTI KE MALASYA,2025-03-22 21:56:23+00:00,negatif
ga pernah se muak ini sama negara sendiri wkwk,2025-03-21 03:56:08+00:00,negatif
Takut di culik jam 3 pagi 🤣,2025-03-18 08:47:28+00:00,negatif
kayaknya dimalem Lailatul Qadar tahun ini doanya buat keselamatan negri ini deh biar ga kacau kayak sekarang :',2025-03-20 22:15:37+00:00,negatif
kenapa GK ada yg demo RUU PERAMPASAN ASET?,2025-03-18 08:52:01+00:00,negatif
"dlu ibu gw prnh cerita ""km ga ngerasain jaman orba, ga ada org yg brni keluar rmah wkt dekat2 pilpres. pokoknya kyk Myanmar sekarang lah",2025-03-18 19:51:35+00:00,negatif
ya Allah kenapa aku wni?😞💔,2025-03-21 13:21:38+00:00,negatif
"Ramekan tagar ini gays
#SahkanRUUPerampasanAsetKoruptor",2025-03-20 12:06:37+00:00,negatif
katanya negara demokrasi😹,2025-03-18 06:23:38+00:00,positif
"ingat, banyak pemain lama yg masih aktif 🤣",2025-03-18 08:22:29+00:00,positif
intinya sama kaya jaman suharto ya,2025-03-18 05:45:47+00:00,netral
apakah akan kembali ke era Suharto☠️,2025-03-18 08:46:52+00:00,positif
negara ku ini kenapa udah 79 tahun kok belum merdeka ini negara,2025-03-18 08:24:14+00:00,negatif
"ayo semua ikut turut
#TOLAKRUUTNI",2025-03-22 15:21:39+00:00,positif
apaan negara demokrasi? negara Pancasila? kalo nyatanya gini. kek korut😇,2025-03-20 21:47:12+00:00,negatif
tahun depan kek mana lagi nih konoha,2025-03-20 16:24:12+00:00,positif
kenapa jadi gini 🥺,2025-03-20 20:42:12+00:00,netral
negara juga milik rakyat😞,2025-03-24 14:53:07+00:00,positif
jangan sampe novel laut bercerita terbit vol 2 😂,2025-03-21 04:45:30+00:00,positif
"Ngeri bgt ya? aku belum lahir pas itu, takud kalo kejadian beneran💔😭",2025-03-20 11:58:30+00:00,negatif
pindah ke dubai yu guys,2025-03-20 22:32:42+00:00,negatif
"ketik "" 1 "" yang mau pindah negara kalo udh dewasa",2025-03-20 15:50:15+00:00,negatif
sebenernya ini negara atau grup orang orang senang dah?,2025-03-18 09:15:06+00:00,negatif
